"","id","latitude","longitude","date","depth","average_bleaching","clim_sst","temperature_kelvin","temperature_mean","temperature_minimum","temperature_maximum","temperature_kelvin_standard_deviation","windspeed","ssta","ssta_standard_deviation","ssta_mean","ssta_minimum","ssta_maximum","ssta_frequency","ssta_frequency_standard_deviation","ssta_frequency_max","ssta_frequency_mean","ssta_dhw","ssta_dhw_standard_deviation","ssta_dhw_max","ssta_dhw_mean","tsa","tsa_standard_deviation","tsa_minimum","tsa_maximum","tsa_mean","tsa_frequency","tsa_frequency_standard_deviation","tsa_frequency_max","tsa_frequency_mean","tsa_dhw","tsa_dhw_standard_deviation","tsa_dhw_max","tsa_dhw_mean","index","mean_airt_1","mean_atmp","mean_rad_par_1","mean_sw_1"
"102","568","-26.75166667","153.1578611","5/7/2016",9,0.5,294.02,297.8,296.33,291.17,301.66,2.38,4,1.31,0.7,0,-2.502222222,2.76,12,3.72,19,3,4.04,2.16,12.42,1.22,-1.76,2.38,-8.38,2.09,-3.22,0,0.95,4,0,0,0.71,5.75,0.21,108,19.3055,1023.175695,381.8385,191.6305
"103","569","-26.75166667","153.1578611","5/7/2016",9,0.5,294.02,297.8,296.33,291.17,301.66,2.38,4,1.31,0.7,0,-2.502222222,2.76,12,3.72,19,3,4.04,2.16,12.42,1.22,-1.76,2.38,-8.38,2.09,-3.22,0,0.95,4,0,0,0.71,5.75,0.21,109,19.3055,1023.175695,381.8385,191.6305
"104","570","-26.75166667","153.1578611","1/28/2017",9,0.75,299.09,300.04,296.33,291.17,301.66,2.38,6,0.6,0.7,0,-2.502222222,2.76,12,3.72,19,3,0,2.16,12.42,1.22,0.48,2.38,-8.38,2.09,-3.22,0,0.95,4,0,0,0.71,5.75,0.21,110,19.3055,1023.175695,381.8385,191.6305
"105","571","-26.75166667","153.1578611","1/28/2017",9,0.25,299.09,300.04,296.33,291.17,301.66,2.38,6,0.6,0.7,0,-2.502222222,2.76,12,3.72,19,3,0,2.16,12.42,1.22,0.48,2.38,-8.38,2.09,-3.22,0,0.95,4,0,0,0.71,5.75,0.21,111,19.3055,1023.175695,381.8385,191.6305
"106","572","-26.645","153.1608056","11/12/2016",12,1,298.63,297,296.45,291.35,301.64,2.33,7,0.37,0.71,0,-2.732222222,2.53,13,3.58,15,3,0,2.15,12.54,1.3,-2.59,2.33,-8.23,2.04,-3.13,1,0.99,3,0,0,0.73,4.4,0.23,112,19.9584,1016.478425,0,-0.891
"107","573","-26.645","153.1608056","11/13/2016",9,1,298.63,297,296.45,291.35,301.64,2.33,7,0.37,0.71,0,-2.732222222,2.53,13,3.58,15,3,0,2.15,12.54,1.3,-2.59,2.33,-8.23,2.04,-3.13,1,0.99,3,0,0,0.73,4.4,0.23,113,19.9584,1016.478425,0,-0.891
"108","574","-26.645","153.1608056","1/27/2017",9,0,299.19,300.11,296.45,291.35,301.64,2.33,6,0.67,0.71,0,-2.732222222,2.53,12,3.58,15,3,1,2.15,12.54,1.3,0.52,2.33,-8.23,2.04,-3.13,1,0.99,3,0,0,0.73,4.4,0.23,114,19.9584,1016.478425,0,-0.891
"109","575","-26.645","153.1608056","10/14/2017",10,0.5,297.42,296.45,296.45,291.35,301.64,2.33,9,1.24,0.71,0,-2.732222222,2.53,11,3.58,15,3,8.85,2.15,12.54,1.3,-3.14,2.33,-8.23,2.04,-3.13,0,0.99,3,0,0,0.73,4.4,0.23,115,19.9584,1016.478425,0,-0.891
"110","576","-26.61502778","153.1129444","11/4/2016",10,1,298.29,297.05,296.41,291.25,302.35,2.34,7,0.78,0.74,0,-2.767777778,2.82,10,4.02,19,4,0,2.26,12.9,1.39,-2.5,2.34,-8.3,2.79,-3.13,1,1.06,4,0,0,0.85,5.67,0.26,116,21.23745,1016.494145,245.754,123.5545
"111","577","-26.61502778","153.1129444","11/4/2016",12,0.75,298.29,297.05,296.41,291.25,302.35,2.34,7,0.78,0.74,0,-2.767777778,2.82,10,4.02,19,4,0,2.26,12.9,1.39,-2.5,2.34,-8.3,2.79,-3.13,1,1.06,4,0,0,0.85,5.67,0.26,117,21.23745,1016.494145,245.754,123.5545
"112","578","-26.61502778","153.1129444","10/14/2017",9,0,297.39,295.36,296.41,291.25,302.35,2.34,9,0.17,0.74,0,-2.767777778,2.82,10,4.02,19,4,7.05,2.26,12.9,1.39,-4.19,2.34,-8.3,2.79,-3.13,0,1.06,4,0,0,0.85,5.67,0.26,118,21.23745,1016.494145,245.754,123.5545
"113","579","-26.61502778","153.1129444","11/18/2017",6,1,298.83,296.76,296.41,291.25,302.35,2.34,7,-0.07,0.74,0,-2.767777778,2.82,11,4.02,19,4,2.67,2.26,12.9,1.39,-2.79,2.34,-8.3,2.79,-3.13,0,1.06,4,0,0,0.85,5.67,0.26,119,21.23745,1016.494145,245.754,123.5545
"114","580","-26.615","153.1127778","11/12/2016",5,3.25,298.6,296.77,296.41,291.25,302.35,2.34,7,0.17,0.74,0,-2.767777778,2.82,10,4.02,19,4,0,2.26,12.9,1.39,-2.78,2.34,-8.3,2.79,-3.13,1,1.06,4,0,0,0.85,5.67,0.26,120,21.23745,1016.494145,245.754,123.5545
"115","582","-25.64955556","152.9145556","6/17/2017",3,9.5,294.41,294.85,296.63,291.53,305.35,3.14,6,-0.21,2.79,0,-5.812,9.01,1,14.2,52,15,0,21.38,105.09,12.3,-3.57,3.14,-6.88,6.92,-1.78,0,13.57,52,10,0,15.21,63.47,7.35,121,25.49,1009.27781,0,-1.2675
"116","583","-25.28225","152.9253056","6/18/2017",3,23.75,291.89,293.16,296.47,289.17,303.48,3.16,6,0.33,0.9,0,-2.82,3.19,13,4.81,21,6,1.61,3.82,24.49,2.46,-7.15,3.16,-11.13,3.16,-3.83,0,2.06,8,1,0,1.72,12.15,0.6,122,22.84,1014.93754,0,-0.9245
"117","584","-25.26305556","152.9381111","6/18/2017",4,22.75,291.89,293.16,296.47,289.17,303.48,3.16,6,0.33,0.9,0,-2.82,3.19,13,4.81,21,6,1.61,3.82,24.49,2.46,-7.15,3.16,-11.13,3.16,-3.83,0,2.06,8,1,0,1.72,12.15,0.6,123,22.855,1014.881465,0,-0.9145
